mp;mpomsch;x;y;gebied;gebiednaam;meetpunttypering;opmerking;krw_type_dawaco;adres;adres_afst;adres_pc;adres_straat;bbg_2015;bodem_code;bodem_grof;bodem_omsch;c12;c50;gemeente;internet;krw_type;landgebruik;lat;leg_breedte;leg_cat;leg_diepte;leg_talud_l;leg_talud_r;lgn2018;lgn2018_agg;lgn2018_perc;lgn2020;lgn2020_agg;lgn2020_perc;lgn2023;lgn2023_agg;lgn2023_perc;long;mp_type;mp_vervallen;ovw_code;ovw_naam;ovw_type;plaatsnaam;problemen;wl_code;wl_naam;wl_type;na
10001;Kralingseplas,noordzijde,midden,langs Langepad;95236;439398;SCHIEL;Schieland;1;incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93982414;846,06;overig;2,00;0,0;0,0;zoet water;water;75;zoet water;water;75;zoet water;water;75;4,51807283;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10002;Kralingseplas,buitenkant stortbak,NO zijde,Plaszoo;95604;439124;SCHIEL;Schieland;1;incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93740103;846,06;overig;2,00;0,0;0,0;zoet water;water;95;zoet water;water;95;zoet water;water;95;4,52347132;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10003;Kralingseplas,binnenkant stortbak,NO zijde,Plaszoo;95662;439109;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93727241;846,06;overig;2,00;0,0;0,0;zoet water;water;69;zoet water;water;69;zoet water;water;70;4,52431725;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10004;Kralingseplas,buitenkant stortbak,Oost,Plaszoom;95539;438971;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93601901;846,06;overig;2,00;0,0;0,0;zoet water;water;94;zoet water;water;94;zoet water;water;95;4,52255267;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10005;Kralingseplas,binnenkant stortbak,Oost,Plaszoom;95599;438954;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93587263;846,06;overig;2,00;0,0;0,0;zoet water;water;66;zoet water;water;66;zoet water;water;67;4,52342800;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10006;Kralingseplas,buitenkant stortbak,ZO zijde,plaszoo;95455;438804;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 362 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93450912;846,06;overig;2,00;0,0;0,0;zoet water;water;97;zoet water;water;97;zoet water;water;97;4,52136025;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10007;Kralingseplas,binnenkant stortbak,ZO zijde,Plaszoo;95517;438778;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 364 Rotterdam;207,3976;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93428209;846,06;overig;2,00;0,0;0,0;zoet water;water;65;zoet water;water;64;zoet water;water;65;4,52226619;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10008;Kralingse Plas 150 m NNO van 00067;95102;439118;SCHIEL;Schieland;1;incidenteel meetpunt zooplankton(project 2018);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93729325;846,06;overig;2,00;0,0;0,0;zoet water;water;100;zoet water;water;100;zoet water;water;100;4,51617313;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
EO 17;vanaf brug in Vlist, bij bushalte Bilwijkerweg;113757;444941;OVERIG;Buiten beheergebied;1;Buiten beheergebied;M10;West-Vlisterdijk 3 Haastrecht;38,8496;2851ES;West-Vlisterdijk;Water | Overig binnenwater;|g WATER;Water;Water;;Nijdvliet (Molenvliet);Krimpenerwaard;;M10;;51,99132576;5,36;overig;0,50;1,0;1,0;agrarisch gras;agrarisch gras;28;natuurgraslanden;natuurgraslanden;27;agrarisch gras;agrarisch gras;43;4,78673481;Regulier;;;;;Haastrecht;;NL39_OV;Overig water;;
EO 19;vanaf de Voornebrug te Schoonhoven;117860;441010;OVERIG;Buiten beheergebied;1;Buiten beheergebied;M10;Opweg 84 Schoonhoven;33,2415;2871NG;Opweg;Water | Overig binnenwater;|h BEBOUW;Bebouwd;Bebouwing;;Noord. wegsl. Kadijk Oost / Bovenberg;Krimpenerwaard;;M10;;51,95628411;3,94;primair;1,00;0,7;0,7;agrarisch gras;agrarisch gras;47;agrarisch gras;agrarisch gras;47;zoet water;stedelijk;17;4,84689437;Regulier;;;;;Vlist;;NL39_OV;Overig water;;
K_0101;Voetbrug Molenvlietsingel naar scheeps- werf v.Duy;99782;437031;KRIWA;Krimpenerwaard;1;;M10;Molenvlietsingel 10 Krimpen aan den IJssel;33,4700;2922AA;Molenvlietsingel;Water | Overig binnenwater;|h BEBOUW;Bebouwd;Bebouwing;1;;Krimpen aan den IJssel;;M10;stedelijk;51,91902073;7,44;primair;1,00;2,0;2,0;gras in primair bebouwd gebied;stedelijk;61;gras in primair bebouwd gebied;stedelijk;46;gras in primair bebouwd gebied;stedelijk;63;4,58455761;Regulier;;NL39_DOW_1;Stedelijk gebied;M8;Krimpen aan den IJssel;;NL39_OV;Overig water;;
K_0103;WATERGANG N210 bij Tussenweg thv hmp 1,0 KadIJ;100570;435750;KRIWA;Krimpenerwaard;1;;M08;Tiendweg 58w5 Krimpen aan de Lek;26,0000;2931LC;Tiendweg;Bebouwd | Detailhandel en horeca;|h BEBOUW;Bebouwd;Bebouwing;1;Landscheidingssloot(ged);Krimpen aan den IJssel;;M8;grasland - agrarisch;51,90758531;4,26;primair;1,00;0,0;0,0;gras in primair bebouwd gebied;stedelijk;35;gras in primair bebouwd gebied;stedelijk;41;gras in primair bebouwd gebied;stedelijk;17;4,59621349;Regulier;;NL39_DOW_2;Weidegebied;M8;Krimpen aan den IJssel;;NL39_OV;Overig water;;
K_0104;Krimpen aan den IJssel Dokter W.M. Blomsingel | Vanaf brug Burgemeester Aalberslaan;100130;437050;KRIWA;Krimpenerwaard;1;;M10;Dokter W.M. Blomsingel 2 Krimpen aan den IJssel;26,0000;2922CC;Dokter W.M. Blomsingel;Bebouwd | Woongebied;|h BEBOUW;Bebouwd;Bebouwing;1;;Krimpen aan den IJssel;ja;M10;stedelijk;51,91922592;14,86;primair;1,00;0,0;0,0;gras in primair bebouwd gebied;stedelijk;56;gras in primair bebouwd gebied;stedelijk;48;gras in primair bebouwd gebied;stedelijk;48;4,58961262;Regulier;;NL39_DOW_1;Stedelijk gebied;M8;Krimpen aan den IJssel;;NL39_OV;Overig water;;
K_0105;PLAS ZWANENEILAND via Zwanenhalspad N-zijde KadIJ;101699;436634;KRIWA;Krimpenerwaard;1;;-;Heemlaan 18 Krimpen aan den IJssel;26,0000;2923GR;Heemlaan;Water | Water met recreatieve functie;|h BEBOUW;Bebouwd;Bebouwing;1;;Krimpen aan den IJssel;ja;;stedelijk;51,91563961;70,69;overig;0,50;1,0;1,0;gras in secundair bebouwd gebied;stedelijk;57;gras in secundair bebouwd gebied;stedelijk;60;zoet water;stedelijk;31;4,61248202;Regulier;;NL39_DOW_1;Stedelijk gebied;M8;Krimpen aan den IJssel;;NL39_OV;Overig water;;
K_0106;Het Waaltje op de kop van de Breekade bij zandstra;102190;438074;KRIWA;Krimpenerwaard;1;;-;Breekade 19a Krimpen aan den IJssel;45,2262;2924LB;Breekade;Water | Overig binnenwater;|h BEBOUW;Bebouwd;Bebouwing;1;de Waal;Krimpen aan den IJssel;;;grasland - agrarisch;51,92862857;18,77;primair;2,00;2,0;2,0;zoet water;water;42;zoet water;water;42;zoet water;water;44;4,61939692;Regulier;;;;;Krimpen aan den IJssel;;NL39_OV;Overig water;;
K_0107;Singel hoek Reigersingel en Leeuwerikstraat;100399;436412;KRIWA;Krimpenerwaard;1;;-;Leeuwerikstraat 1 Krimpen aan den IJssel;21,2970;2922GK;Leeuwerikstraat;Bebouwd | Woongebied;|h BEBOUW;Bebouwd;Bebouwing;1;;Krimpen aan den IJssel;;;stedelijk;51,91351833;12,49;primair;1,00;0,0;0,0;gras in primair bebouwd gebied;stedelijk;46;gras in primair bebouwd gebied;stedelijk;46;gras in primair bebouwd gebied;stedelijk;47;4,59362369;Regulier;;;;;Krimpen aan den IJssel;;NL39_OV;Overig water;;
K_0108;SINGEL LANGS DRIEKAMP va brug bij Trimbaan;101022;437476;KRIWA;Krimpenerwaard;1;;M10;Trimbaan 30 Krimpen aan den IJssel;24,3310;2924VN;Trimbaan;Water | Overig binnenwater;|h BEBOUW;Bebouwd;Bebouwing;1;;Krimpen aan den IJssel;ja;M10;stedelijk;51,92314188;9,09;primair;1,00;0,0;0,0;gras in primair bebouwd gebied;stedelijk;33;gras in primair bebouwd gebied;stedelijk;33;gras in primair bebouwd gebied;stedelijk;34;4,60251071;Regulier;;;;;Krimpen aan den IJssel;;NL39_19a;Krimpen aan den IJssel;M10;
K_0109;Krimpen aan den IJssel Heidekruid | Bij splitsing watergang tegenover nr 1;102312;437468;KRIWA;Krimpenerwaard;1;De brug waarvan af werd bemonsterd bestaat niet meer.;M10;Heidekruid 1 Krimpen aan den IJssel;20,8135;2925DH;Heidekruid;Bebouwd | Woongebied;|h BEBOUW;Bebouwd;Bebouwing;1;;Krimpen aan den IJssel;ja;M10;stedelijk;51,92319366;7,06;overig;0,50;1,0;1,0;gras in primair bebouwd gebied;stedelijk;41;gras in primair bebouwd gebied;stedelijk;41;gras in primair bebouwd gebied;stedelijk;40;4,62126337;Regulier;;;;;Krimpen aan den IJssel;;NL39_19a;Krimpen aan den IJssel;M10;
K_0110;Krimpen aan den IJssel Burgemeester Lepelaarssingel | achter Lupine nr 28;102634;436862;KRIWA;Krimpenerwaard;1;JvT Co�rdinaten gewijzigd: oude coord X 102639 Y 436895 (13-1-2022);-;Lupine 28 Krimpen aan den IJssel;26,0000;2925ET;Lupine;Bebouwd | Woongebied;|h BEBOUW;Bebouwd;Bebouwing;1;Watergang z-o v Vijverflat Populierenlaan;Krimpen aan den IJssel;ja;;stedelijk;51,91777757;9,91;primair;1,00;0,0;0,0;gras in primair bebouwd gebied;stedelijk;56;gras in primair bebouwd gebied;stedelijk;58;gras in primair bebouwd gebied;stedelijk;58;4,62603622;Regulier;;;;;Krimpen aan den IJssel;;NL39_19a;Krimpen aan den IJssel;M10;
K_0111;Krimpen aan den IJssel Hofje van Pauw | vanaf fietsbrug bij nr 7;101618;435864;KRIWA;Krimpenerwaard;1;;-;Hofje van Pauw 7 Krimpen aan den IJssel;27,6653;2926RJ;Hofje van Pauw;Water | Overig binnenwater;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);1;Lansingh-zuid;Krimpen aan den IJssel;ja;;grasland - agrarisch;51,90871140;17,50;primair;1,00;2,0;2,0;zoet water;stedelijk;26;zoet water;stedelijk;26;zoet water;water;29;4,61142424;Regulier;;;;;Krimpen aan den IJssel;;NL39_OV;Overig water;;
K_0112;Potentiele inlaat zwanenwater;101632;436730;KRIWA;Krimpenerwaard;1;;-;Zwanenkade 146 Krimpen aan den IJssel;34,4444;2925AV;Zwanenkade;Water | Water met recreatieve functie;|h BEBOUW;Bebouwd;Bebouwing;1;;Krimpen aan den IJssel;;;stedelijk;51,91649600;7,11;primair;1,00;0,0;0,0;gras in secundair bebouwd gebied;stedelijk;41;gras in secundair bebouwd gebied;stedelijk;43;gras in primair bebouwd gebied;stedelijk;42;4,61149338;Regulier;;;;;Krimpen aan den IJssel;;NL39_OV;Overig water;;
K_0201;WATERGANG gemaal Krgeer Zijde Ijsseldk-N Oukerk;103400;439020;KRIWA;Krimpenerwaard;1;;M10;IJsseldijk-Noord 12a Ouderkerk aan den IJssel;39,1152;2935BG;IJsseldijk-Noord;Water | Overig binnenwater;|h BEBOUW;Bebouwd;Bebouwing;5;Molenvliet (ged.);Krimpenerwaard;;M10;stedelijk;51,93724441;4,85;primair;1,00;0,4;0,4;zoet water;stedelijk;26;zoet water;stedelijk;26;zoet water;water;29;4,63684569;Regulier;;NL39_DOW_1;Stedelijk gebied;M8;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0202;oostelijk van brug in Tiendweg nabij de Ouderkerks;103920;437960;KRIWA;Krimpenerwaard;1;;-;Kerkweg 170a Ouderkerk aan den IJssel;24,0208;2935AL;Kerkweg;Water | Overig binnenwater;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);;;Krimpenerwaard;;;grasland - agrarisch;51,92776555;8,14;primair;1,00;0,6;0,6;overig grondgebruik in buitengebied;lintbebouwing;22;overig grondgebruik in buitengebied;stedelijk;22;zoet water;water;26;4,64456431;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0203;lozing awzi.Ouderkerk a/d Ijssel 50m ten NW van lo;103770;438660;KRIWA;Krimpenerwaard;1;;-;Dekkerstraat 22 Ouderkerk aan den IJssel;51,8348;2935XC;Dekkerstraat;Landbouw | Overig agrarisch gebruik;|h BEBOUW;Bebouwd;Bebouwing;;;Krimpenerwaard;;;grasland - agrarisch;51,93404308;13,05;primair;1,25;0,3;0,3;agrarisch gras;agrarisch gras;48;agrarisch gras;agrarisch gras;48;agrarisch gras;agrarisch gras;46;4,64227938;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0204;wetering achter Ysseldijk-noord 35 (onder aan de d;103490;439200;KRIWA;Krimpenerwaard;1;;-;IJsseldijk-Noord 35 Ouderkerk aan den IJssel;19,6977;2935BG;IJsseldijk-Noord;Bebouwd | Woongebied;dMv41C;Klei;Kalkarme drechtvaaggronden;;;Krimpenerwaard;;;grasland - agrarisch;51,93887053;9,22;primair;1,00;0,4;0,4;agrarisch gras;stedelijk;41;agrarisch gras;stedelijk;41;overig grondgebruik in buitengebied;agrarisch gras;37;4,63812737;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0205;Ouderkrk 2de sl tW laatste hs Nzijde Tiendwg-O 25m;105600;439620;KRIWA;Krimpenerwaard;1;;-;Tiendweg-Oost 1t Ouderkerk aan den IJssel;26,0000;;Tiendweg-Oost;Landbouw | Overig agrarisch gebruik;hVb;Veen;Koopveengronden op bosveen (of eutroof broekveen);;;Krimpenerwaard;;;grasland - agrarisch;51,94283680;4,84;overig;0,50;1,0;1,0;agrarisch gras;agrarisch gras;74;agrarisch gras;agrarisch gras;91;agrarisch gras;agrarisch gras;81;4,66874895;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0206;Ca. 500 m noordelijk van kruising Oudelandseweg me;106050;438625;KRIWA;Krimpenerwaard;1;;-;Oudelandseweg 19a Ouderkerk aan den IJssel;443,3971;2935LC;Oudelandseweg;Water | Overig binnenwater;hVc;Veen;Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) b;5;Veenwatering (ged.);Krimpenerwaard;;;grasland - agrarisch;51,93393388;16,05;primair;1,00;0,5;0,5;agrarisch gras;agrarisch gras;84;agrarisch gras;agrarisch gras;84;agrarisch gras;agrarisch gras;73;4,67543480;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0207;Hw. zuidelijk Tiendweg tegenover wit veeschuurtje;105150;439000;KRIWA;Krimpenerwaard;1;;-;Tiendweg-Oost 1b Ouderkerk aan den IJssel;16,1245;2935LE;Tiendweg-Oost;Landbouw | Overig agrarisch gebruik;hVb;Veen;Koopveengronden op bosveen (of eutroof broekveen);5;Noordelijke Tiendwegwatering oost (ged.);Krimpenerwaard;;;grasland - agrarisch;51,93722430;2,16;primair;1,00;0,6;0,6;agrarisch gras;agrarisch gras;82;agrarisch gras;agrarisch gras;82;agrarisch gras;agrarisch gras;71;4,66229477;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0208;Ouderkerk aan den IJssel Nesse Tiendweg | Kleine wetering 150 m zuidwest van molenruine;105013;440019;KRIWA;Krimpenerwaard;1;;M10;Nesse Tiendweg 2 Ouderkerk aan den IJssel;774,9067;2935CR;Nesse Tiendweg;Landbouw | Overig agrarisch gebruik;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);5;Kleinwatering;Krimpenerwaard;ja;M10;grasland - agrarisch;51,94637040;16,31;primair;1,00;0,5;0,5;agrarisch gras;agrarisch gras;73;agrarisch gras;agrarisch gras;71;agrarisch gras;agrarisch gras;64;4,66015446;Regulier;;NL39_DOW_2;Weidegebied;M8;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0209;Ouderkerk aan den IJssel Oudelandseweg | Veenwetering via terrein ZHL 14;106236;438883;KRIWA;Krimpenerwaard;1;;M08;Oudelandseweg 25 Ouderkerk aan den IJssel;472,0010;2935LC;Oudelandseweg;Water | Overig binnenwater;hVc;Veen;Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) b;5;Veenwatering (ged.);Krimpenerwaard;ja;M8;grasland - natuur;51,93626904;15,63;primair;1,00;0,5;0,5;natuurgraslanden;natuurgraslanden;58;natuurgraslanden;natuurgraslanden;58;agrarisch gras;agrarisch gras;75;4,67810257;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_27;Natuurgebied Zuid;M8;
K_0211;Ouderkerk aan den IJssel Kerkweg | in wetering 500 m ten noorden van Hillekade;103983;437184;KRIWA;Krimpenerwaard;1;;M10;Kerkweg 139 Ouderkerk aan den IJssel;486,5223;2935LA;Kerkweg;Landbouw | Overig agrarisch gebruik;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);5;Veenwatering;Krimpenerwaard;ja;M10;grasland - agrarisch;51,92079692;11,18;primair;1,00;0,5;0,5;agrarisch gras;agrarisch gras;94;agrarisch gras;agrarisch gras;94;agrarisch gras;agrarisch gras;82;4,64559528;Regulier;;NL39_DOW_2;Weidegebied;M8;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0212;WATERGANG parallel N van N210 thv hmp 4,8;104294;436544;KRIWA;Krimpenerwaard;1;;M10;Breekade 28 Krimpen aan de Lek;620,4417;2931LB;Breekade;Water | Overig binnenwater;hVb;Veen;Koopveengronden op bosveen (of eutroof broekveen);3;Zuid. gel. boezem polder Schuwagt;Krimpenerwaard;;M10;grasland - natuur;51,91507326;3,01;primair;1,50;0,6;0,6;natuurgraslanden;natuurgraslanden;57;natuurgraslanden;natuurgraslanden;57;agrarisch gras;agrarisch gras;48;4,65021009;Regulier;;NL39_DOW_2;Weidegebied;M8;Lekkerkerk;;NL39_OV;Overig water;;
K_0213;Ouderkerk aan den IJssel Tiendweg-West | zesde sloot ten westen van elektriciteitsmast;103300;437432;KRIWA;Krimpenerwaard;1;;M08;Tiendweg-West 1d Ouderkerk aan den IJssel;261,8167;2935LG;Tiendweg-West;Landbouw | Overig agrarisch gebruik;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);5;Noordelijke Tiendwegwatering west;Krimpenerwaard;ja;M8;grasland - agrarisch;51,92296280;4,24;overig;0,50;1,0;1,0;agrarisch gras;agrarisch gras;89;agrarisch gras;agrarisch gras;89;agrarisch gras;agrarisch gras;74;4,63563041;Regulier;;NL39_DOW_2;Weidegebied;M8;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0214;singel Ganzenhof bij huisnr. 7;103694;438070;KRIWA;Krimpenerwaard;1;;-;Ganzenhof 7 Ouderkerk aan den IJssel;12,9034;2935VD;Ganzenhof;Bebouwd | Woongebied;|h BEBOUW;Bebouwd;Bebouwing;1;Zuidelijk Tiendwegwatering (ged.)-west;Krimpenerwaard;;;stedelijk;51,92873338;9,42;overig;0,50;1,0;1,0;gras in primair bebouwd gebied;stedelijk;59;gras in primair bebouwd gebied;stedelijk;59;gras in primair bebouwd gebied;stedelijk;57;4,64126241;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0215;singel Reigerlaan vanaf bruggetje;103312;438333;KRIWA;Krimpenerwaard;1;;-;De Peppel 6 Ouderkerk aan den IJssel;38,9486;2935SK;De Peppel;Bebouwd | Woongebied;|h BEBOUW;Bebouwd;Bebouwing;1;Bakwetering West;Krimpenerwaard;;;stedelijk;51,93106176;18,29;overig;0,50;1,0;1,0;gras in primair bebouwd gebied;stedelijk;39;gras in primair bebouwd gebied;stedelijk;46;gras in primair bebouwd gebied;stedelijk;43;4,63566941;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0216;Ouderkerk aan den IJssel Dekkerstraat | tegenover Wilhelminastraat langs parkeerplaats sportvelden;103638;438466;KRIWA;Krimpenerwaard;1;;-;Dekkerstraat 14a Ouderkerk aan den IJssel;13,6014;2935XC;Dekkerstraat;Bebouwd | Woongebied;|h BEBOUW;Bebouwd;Bebouwing;1;Molenvliet;Krimpenerwaard;ja;;stedelijk;51,93228731;6,13;overig;0,50;1,0;1,0;gras in primair bebouwd gebied;stedelijk;45;gras in primair bebouwd gebied;stedelijk;45;gras in primair bebouwd gebied;stedelijk;40;4,64038913;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0217;singel Bakwetering naast BBB;103050;438674;KRIWA;Krimpenerwaard;1;;-;Bakwetering 11 Ouderkerk aan den IJssel;4,1231;2935SC;Bakwetering;Bebouwd | Woongebied;|h BEBOUW;Bebouwd;Bebouwing;1;Bakwetering West;Krimpenerwaard;;;stedelijk;51,93410212;4,56;overig;0,50;1,0;1,0;gras in primair bebouwd gebied;stedelijk;66;gras in primair bebouwd gebied;stedelijk;66;gras in primair bebouwd gebied;stedelijk;65;4,63180877;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0218;watergang zz hek 63 (4 boompjes),Oudelandseweg;105079;437013;KRIWA;Krimpenerwaard;1;;-;Oudelandseweg 1a Ouderkerk aan den IJssel;146,0111;2935LC;Oudelandseweg;Landbouw | Overig agrarisch gebruik;hVc;Veen;Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) b;5;Nieuwe Vliet Hillekade;Krimpenerwaard;;;grasland - natuur;51,91935946;11,61;overig;0,50;1,0;1,0;natuurgraslanden;natuurgraslanden;48;natuurgraslanden;natuurgraslanden;48;agrarisch gras;agrarisch gras;61;4,66155084;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0219;watergang noord molenbult hek3,fietspad Molenvliet;105018;440170;KRIWA;Krimpenerwaard;1;;-;Nesse Tiendweg 2 Ouderkerk aan den IJssel;661,3626;2935CR;Nesse Tiendweg;Nat natuurlijk terrein | Nat natuurlijk terrein;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);5;Kleinwatering;Krimpenerwaard;;;grasland - natuur;51,94772798;3,81;overig;0,50;1,0;1,0;agrarisch gras;agrarisch gras;24;natuurgraslanden;natuurgraslanden;21;agrarisch gras;agrarisch gras;51;4,66020521;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_12a;Sloten waterrijk Berkenwoude;M8;
K_0220;Ijsseldijk-Noord 194;104309;440488;KRIWA;Krimpenerwaard;1;veedrenking;-;IJsseldijk-Noord 194 Ouderkerk aan den IJssel;115,4717;2935BM;IJsseldijk-Noord;Landbouw | Overig agrarisch gebruik;dMv41C;Klei;Kalkarme drechtvaaggronden;;Bakwetering Oost;Krimpenerwaard;;;grasland - agrarisch;51,95052184;5,06;overig;0,50;1,0;1,0;agrarisch gras;agrarisch gras;65;agrarisch gras;agrarisch gras;70;agrarisch gras;agrarisch gras;64;4,64984656;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0221;Ijsseldijk-Noord 194;104347;440457;KRIWA;Krimpenerwaard;1;veedrenking;-;IJsseldijk-Noord 194 Ouderkerk aan den IJssel;164,3721;2935BM;IJsseldijk-Noord;Landbouw | Overig agrarisch gebruik;dMv41C;Klei;Kalkarme drechtvaaggronden;;Bakwetering Oost;Krimpenerwaard;;;grasland - agrarisch;51,95024669;5,06;overig;0,50;1,0;1,0;agrarisch gras;agrarisch gras;80;agrarisch gras;agrarisch gras;85;agrarisch gras;agrarisch gras;77;4,65040383;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0222;Ouderkerk aan den IJssel Kerkweg | Gemaal Hillekade;105045;436718;KRIWA;Krimpenerwaard;1;;-;Kerkweg 151 Ouderkerk aan den IJssel;3,8607;2935LA;Kerkweg;Landbouw | Overig agrarisch gebruik;hVc;Veen;Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) b;5;Nieuwe Vliet Hillekade;Krimpenerwaard;ja;;grasland - agrarisch;51,91670505;14,29;primair;1,00;5,0;5,0;agrarisch gras;agrarisch gras;36;agrarisch gras;agrarisch gras;35;agrarisch gras;agrarisch gras;33;4,66109949;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_20a;Kromme, Geer en zijde;M10;
K_0223;2e Kavelsloot O v Oudelandseweg 8;105508;437393;KRIWA;Krimpenerwaard;1;Oude coordinaten X=105243 Y=437029, verplaatst 1-5-2017 iom ZHL;M08;Oudelandseweg 8 Ouderkerk aan den IJssel;82,2982;2935LD;Oudelandseweg;Landbouw | Overig agrarisch gebruik;hVc;Veen;Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) b;;;Krimpenerwaard;ja;M8;grasland - natuur;51,92281310;7,26;overig;0,50;1,0;1,0;natuurgraslanden;natuurgraslanden;72;natuurgraslanden;natuurgraslanden;71;agrarisch gras;agrarisch gras;40;4,66773164;Regulier;;;;;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
K_0301;Ouderkerk aan den IJssel IJsseldijk-Noord | Molenvliet Gemaal de Nesse;103417;442197;KRIWA;Krimpenerwaard;1;;M10;IJsseldijk-Noord 292 Ouderkerk aan den IJssel;14,8660;2935CP;IJsseldijk-Noord;Landbouw | Overig agrarisch gebruik;|h DIJK;Overig;Dijk;7;Kaaswetering;Krimpenerwaard;ja;M10;grasland - agrarisch;51,96579955;9,03;overig;0,50;1,0;1,0;agrarisch gras;agrarisch gras;29;agrarisch gras;agrarisch gras;29;agrarisch gras;agrarisch gras;28;4,63661573;Regulier;;NL39_DOW_2;Weidegebied;M8;Ouderkerk aan den IJssel;;NL39_OV;Overig water;;
