mp;mpomsch;x;y;gebied;gebiednaam;meetpunttypering;opmerking;krw_type_dawaco;adres;adres_afst;adres_pc;adres_straat;bbg_2015;bodem_code;bodem_grof;bodem_omsch;c12;c50;gemeente;internet;krw_type;landgebruik;lat;leg_breedte;leg_cat;leg_diepte;leg_talud_l;leg_talud_r;lgn2018;lgn2018_agg;lgn2018_perc;lgn2020;lgn2020_agg;lgn2020_perc;lgn2023;lgn2023_agg;lgn2023_perc;long;mp_type;mp_vervallen;ovw_code;ovw_naam;ovw_type;plaatsnaam;problemen;wl_code;wl_naam;wl_type;na
EGB_18_EL_12;EGB-18-EL12;102753;441935;SCHIEL;Schieland;9;;M08;Kortlandstraat 28 Nieuwerkerk aan den IJssel;53,6656;2911BG;Kortlandstraat;Landbouw | Overig agrarisch gebruik;Mv41C;Klei;Kalkarme drechtvaaggronden;;;Zuidplas;;M8;grasland - agrarisch;51,96338277;3,90;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;57;agrarisch gras;stedelijk;36;4,62699452;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_EL_13;EGB-18-EL13;101615;440458;SCHIEL;Schieland;9;;M08;'s-Gravenweg 32 Nieuwerkerk aan den IJssel;26,0000;2911CG;'s-Gravenweg;Bedrijfsterrein | Bedrijfsterrein;hVb;Veen;Koopveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,95000001;5,67;overig;0,40;0,0;0,0;;;;gras in primair bebouwd gebied;stedelijk;35;zoet water;stedelijk;28;4,61066738;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_EL_14;EGB-18-EL14;101753;439646;SCHIEL;Schieland;9;;M08;Boeroestraat 27 Capelle aan den IJssel;396,4981;2905SJ;Boeroestraat;Water | Overig binnenwater;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,94271536;16,44;primair;1,00;3,0;3,0;;;;loofbos;recreatie;49;bos in secundair bebouwd gebied;recreatie;50;4,61280040;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_EL_15;EGB-18-EL15;102487;440495;SCHIEL;Schieland;9;;M08;'s-Gravenweg 39d Nieuwerkerk aan den IJssel;26,0000;2911CD;'s-Gravenweg;Water | Overig binnenwater;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,95041561;45,04;overig;0,40;0,0;0,0;;;;gras in secundair bebouwd gebied;stedelijk;38;gras in secundair bebouwd gebied;stedelijk;54;4,62334471;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_EL_16;EGB-18-EL16;101872;439298;SCHIEL;Schieland;9;;M08;Sauerdal 13 Capelle aan den IJssel;257,4926;2904DE;Sauerdal;Landbouw | Overig agrarisch gebruik;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,93959907;34,22;overig;0,40;0,0;0,0;;;;agrarisch gras;agrarisch gras;60;gras in secundair bebouwd gebied;stedelijk;58;4,61458474;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_PU_05;EGB-18-PU5;103216;441247;SCHIEL;Schieland;9;;M08;Klein Hitland 266 Nieuwerkerk aan den IJssel;90,2722;2911BR;Klein Hitland;Water | Overig binnenwater;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,95724267;12,79;primair;1,00;3,0;3,0;;;;agrarisch gras;agrarisch gras;42;agrarisch gras;agrarisch gras;29;4,63383452;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_PU_14;EGB-18-PU14;101753;439646;SCHIEL;Schieland;9;;M08;Boeroestraat 27 Capelle aan den IJssel;396,4981;2905SJ;Boeroestraat;Water | Overig binnenwater;pVb;Veen;Weideveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,94271536;16,44;primair;1,00;3,0;3,0;;;;loofbos;recreatie;49;bos in secundair bebouwd gebied;recreatie;50;4,61280040;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_PU_15;EGB-18-PU15;102660;440372;SCHIEL;Schieland;9;;M08;'s-Gravenweg 39d Nieuwerkerk aan den IJssel;26,0000;2911CD;'s-Gravenweg;Water | Overig binnenwater;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,94932646;18,92;primair;1,30;3,0;3,0;;;;zoet water;water;43;zoet water;water;49;4,62587971;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_ZE_01A;EGB-18-ZE1a;101816;439293;SCHIEL;Schieland;9;;M08;Sauerdal 13 Capelle aan den IJssel;212,3551;2904DE;Sauerdal;Landbouw | Overig agrarisch gebruik;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,93954878;13,38;primair;1,30;1,5;1,5;;;;agrarisch gras;agrarisch gras;54;gras in secundair bebouwd gebied;stedelijk;54;4,61377120;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
EGB_18_ZE_01B;EGB-18-ZE1b;101905;439194;SCHIEL;Schieland;9;;M08;Sauerdal 25 Capelle aan den IJssel;26,0000;2904DE;Sauerdal;Water | Overig binnenwater;kVb;Veen;Waardveengronden op bosveen (of eutroof broekveen);;;Zuidplas;;M8;grasland - agrarisch;51,93866751;13,38;primair;1,30;1,5;1,5;;;;agrarisch gras;agrarisch gras;40;gras in secundair bebouwd gebied;stedelijk;39;4,61508067;Vis;;;;;Nieuwerkerk aan den IJssel;;NL39_11a;Sloten waterrijk EGB;M8;
